trade_date,close,open,北向资金,mid,upper,lower,ret,week,position,signal,capital_ret,策略净值,指数净值
2019-03-06,3848.0903,3822.8588,-834.6,1641.74876,5878.745935580335,-2595.2484155803345,0.008405919560236397,2019-03-04/2019-03-10,1.0,,0.008405919560236397,1.1928553897465113,1.2182197649175939
2019-03-07,3808.8497,3841.1456,-3969.91,1664.52584,5797.380950172794,-2468.3292701727933,-0.010197421822455532,2019-03-04/2019-03-10,1.0,0.0,-0.010197421822455532,1.1806913401640766,1.2057970641022766
2019-03-08,3657.579,3721.4016,-1227.7,1652.40508,5794.333926135558,-2489.5237661355573,-0.03971558657197738,2019-03-04/2019-03-10,0.0,,-0.02272959707493842,1.1538547017322782,1.1579081264146864
2019-03-11,3729.9546,3663.9772,-1986.66,1632.2149200000001,5786.296235553772,-2521.8663955537713,0.019787843270097527,2019-03-11/2019-03-17,0.0,,0.0,1.1538547017322782,1.1808206309413525
2019-03-12,3755.3519,3758.3151,997.24,1646.07588,5782.219899759111,-2490.0681397591106,0.006809010490369083,2019-03-11/2019-03-17,0.0,,0.0,1.1538547017322782,1.1888608510046763
2019-03-13,3724.1941,3758.713,-2347.14,1641.13844,5786.369906746462,-2504.093026746463,-0.008296905544324606,2019-03-11/2019-03-17,0.0,,-0.0,1.1538547017322782,1.178996984818545
2019-03-14,3698.4858,3710.2934,2332.8,1653.6743999999999,5792.878603999393,-2485.529803999393,-0.006903050515009501,2019-03-11/2019-03-17,0.0,,-0.0,1.1538547017322782,1.1708583090752989
2019-03-15,3745.005,3713.936,2288.52,1657.8162,5797.280460251293,-2481.648060251293,0.012577904179056354,2019-03-11/2019-03-17,0.0,,0.0,1.1538547017322782,1.1855852526941
2019-03-18,3851.7479,3753.6436,3387.69,1661.26096,5803.163796610488,-2480.6418766104875,0.028502738981656783,2019-03-18/2019-03-24,0.0,,0.0,1.1538547017322782,1.2193776796921416
2019-03-19,3833.9626,3856.5885,-1598.86,1647.16152,5800.511537422233,-2506.1884974222335,-0.004617462113758797,2019-03-18/2019-03-24,0.0,,-0.0,1.1538547017322782,1.2137472494538
2019-03-20,3835.4397,3825.3356,-105.59,1633.16412,5786.484276645317,-2520.1560366453173,0.00038526719066056536,2019-03-18/2019-03-24,0.0,,0.0,1.1538547017322782,1.2142148664467691
2019-03-21,3836.8913,3840.2783,-1194.87,1617.6051200000002,5778.326765403369,-2543.1165254033685,0.0003784702963782749,2019-03-18/2019-03-24,0.0,,0.0,1.1538547017322782,1.21467441070714
2019-03-22,3833.8013,3838.1255,-1357.18,1613.5938,5779.694401348197,-2552.5068013481973,-0.0008053394684388593,2019-03-18/2019-03-24,0.0,,-0.0,1.1538547017322782,1.213696185462895
2019-03-25,3742.8252,3776.4426,-10774.45,1564.95852,5893.618297317713,-2763.7012573177126,-0.023729998735197877,2019-03-25/2019-03-31,0.0,,-0.0,1.1538547017322782,1.184895176516946
2019-03-26,3700.4388,3766.5287,995.57,1572.7408,5895.116817571383,-2749.6352175713832,-0.011324707336051953,2019-03-25/2019-03-31,0.0,,-0.0,1.1538547017322782,1.171476585418992
2019-03-27,3743.3878,3724.4058,-496.19,1575.9108,5894.198041975338,-2742.3764419753384,0.011606461374256583,2019-03-25/2019-03-31,0.0,,0.0,1.1538547017322782,1.1850732831585034
2019-03-28,3728.3953,3731.0612,-1563.03,1565.1047999999998,5893.4583536833725,-2763.2487536833723,-0.004005061938813781,2019-03-25/2019-03-31,0.0,,-0.0,1.1538547017322782,1.1803269912574201
2019-03-29,3872.3412,3739.7739,11093.15,1619.3422,6024.053662455645,-2785.369262455645,0.038608003824057935,2019-03-25/2019-03-31,0.0,1.0,0.0,1.1538547017322782,1.2258970602495254
2019-04-01,3973.928,3901.1698,3118.18,1619.87048,6024.9700544838215,-2785.229094483821,0.02623394859936412,2019-04-01/2019-04-07,1.0,,0.01846385102232672,1.1751593030464742,1.258057180716223
2019-04-02,3971.2852,3986.3443,-161.43,1613.06076,6021.395282823314,-2795.2737628233135,-0.0006650346961495357,2019-04-01/2019-04-07,1.0,,-0.0006650346961495357,1.1743777813364453,1.2572205290413068
2019-04-03,4022.1566,3947.8697,2905.34,1614.54128,6023.715190860872,-2794.632630860872,0.012809807767017123,2019-04-01/2019-04-07,1.0,,0.012809807767017123,1.1894213349612213,1.2733252823390735
2019-04-04,4062.2309,4039.7415,-1452.22,1602.7058,6021.458804131241,-2816.0472041312414,0.009963386308728062,2019-04-01/2019-04-07,1.0,,0.009963386308728062,1.201271999205283,1.2860119140236879
2019-04-08,4057.2286,4097.1027,-4440.76,1581.9951199999998,6037.06717983063,-2873.076939830631,-0.001231416953674458,2019-04-08/2019-04-14,1.0,0.0,-0.001231416953674458,1.199792732499487,1.2844282971501317
2019-04-09,4075.4301,4063.8139,-402.62,1574.1998,6033.2477756404105,-2884.84817564041,0.004486190401004286,2019-04-08/2019-04-14,0.0,,0.0016068719913884654,1.201720645836812,1.2901904870475849
2019-04-10,4085.847,4062.4425,-3352.2,1568.371,6039.789220583701,-2903.0472205837004,0.002556024700313353,2019-04-08/2019-04-14,0.0,,0.0,1.201720645836812,1.2934882458005879
2019-04-11,3997.5778,4083.4618,-4198.67,1547.48908,6051.978780678385,-2957.0006206783846,-0.021603647909478774,2019-04-08/2019-04-14,0.0,,-0.0,1.201720645836812,1.2655441811632626
2019-04-12,3988.6168,3986.7822,-507.23,1548.3139199999998,6051.910748331354,-2955.2829083313545,-0.0022416074053643875,2019-04-08/2019-04-14,0.0,,-0.0,1.201720645836812,1.2627073279549512
2019-04-15,3975.5244,4056.4919,-2274.32,1536.7364,6054.073722534801,-2980.6009225348016,-0.0032824411710846713,2019-04-15/2019-04-21,0.0,,-0.0,1.201720645836812,1.2585625654346415
2019-04-16,4085.7891,3958.0963,3432.49,1548.56764,6068.335627459291,-2971.2003474592902,0.02773588812585337,2019-04-15/2019-04-21,0.0,,0.0,1.201720645836812,1.2934699159489238
2019-04-17,4087.2398,4080.7172,-1877.57,1547.5053599999999,6069.02130251277,-2974.0105825127694,0.000355059931997026,2019-04-15/2019-04-21,0.0,,0.0,1.201720645836812,1.2939291752893207
2019-04-18,4072.0753,4085.1148,0.0,1531.3426,6048.973327790929,-2986.288127790929,-0.0037102056013449403,2019-04-15/2019-04-21,0.0,,-0.0,1.201720645836812,1.2891284320154186
2019-04-23,4019.0053,4021.6277,-6497.7,1500.669,6081.957734621616,-3080.619734621616,-0.013032666660167114,2019-04-22/2019-04-28,0.0,,-0.0,1.201720645836812,1.2723276508788177
2019-04-24,4030.0887,4033.6292,-3525.16,1483.33068,6088.920029444118,-3122.258669444118,0.002757747047509529,2019-04-22/2019-04-28,0.0,,0.0,1.201720645836812,1.2758364087014935
2019-04-25,3941.816,4013.6027,-1706.38,1476.50516,6089.898931130511,-3136.888611130512,-0.021903413689132956,2019-04-22/2019-04-28,0.0,,-0.0,1.201720645836812,1.2478912360420469
2019-04-26,3889.2748,3921.8909,-1042.6,1460.24048,6077.438729367088,-3156.9577693670876,-0.013329186344568034,2019-04-22/2019-04-28,0.0,,-0.0,1.201720645836812,1.2312578612190892
2019-04-29,3900.3339,3896.5824,4532.73,1472.4426,6098.832326681817,-3153.9471266818164,0.002843486400086803,2019-04-29/2019-05-05,0.0,,0.0,1.201720645836812,1.2347589262024656
2019-04-30,3913.211,3887.1799,-546.89,1456.7080799999999,6083.440845393821,-3170.024685393822,0.003301537850387559,2019-04-29/2019-05-05,0.0,,0.0,1.201720645836812,1.238835529533427
2019-05-06,3684.6168,3775.0765,-5623.53,1420.2706400000002,6091.39810657363,-3250.85682657363,-0.05841601692318665,2019-05-06/2019-05-12,0.0,,-0.0,1.201720645836812,1.1664676922751573
2019-05-07,3720.6684,3702.2656,-1141.74,1411.34108,6088.688858510984,-3266.0066985109834,0.009784355322919991,2019-05-06/2019-05-12,0.0,,0.0,1.201720645836812,1.177880826649084
2019-05-08,3667.4574,3648.5489,-4963.37,1379.8793999999998,6093.950591811036,-3334.1917918110366,-0.014301462608170112,2019-05-06/2019-05-12,0.0,,-0.0,1.201720645836812,1.1610354080498815
2019-05-09,3599.7001,3637.346,-5680.95,1347.5196,6107.880023232272,-3412.8408232322713,-0.01847527935839144,2019-05-06/2019-05-12,0.0,,-0.0,1.201720645836812,1.139584954541176
2019-05-10,3730.4513,3643.0557,0.0,1336.6514000000002,6096.927035418385,-3423.6242354183846,0.03632280366911678,2019-05-06/2019-05-12,0.0,,0.0,1.201720645836812,1.1809778751092546
2019-05-14,3645.1503,3630.4388,-10899.67,1289.9402,6189.4744793024565,-3609.5940793024565,-0.02286613418596306,2019-05-13/2019-05-19,0.0,,-0.0,1.201720645836812,1.1539734765463527
2019-05-15,3727.0923,3674.9931,907.45,1264.1996399999998,6129.816361358108,-3601.4170813581086,0.02247973149419935,2019-05-13/2019-05-19,0.0,,0.0,1.201720645836812,1.1799144904505425
2019-05-16,3743.9635,3720.039,-3396.97,1229.10544,6098.905368687727,-3640.6944886877263,0.004526638634626767,2019-05-13/2019-05-19,0.0,,0.0,1.201720645836812,1.185255536968572
2019-05-17,3648.7609,3744.8751,-5611.04,1210.8572799999997,6119.022218139698,-3697.3076581396986,-0.025428292770482308,2019-05-13/2019-05-19,0.0,,-0.0,1.201720645836812,1.1551165121667
2019-05-20,3617.7924,3635.7357,-2426.44,1191.42916,6110.304483816155,-3727.4461638161556,-0.008487401846473563,2019-05-20/2019-05-26,0.0,,-0.0,1.201720645836812,1.1453125741484442
2019-05-21,3666.7762,3619.4369,-3684.39,1160.69472,6093.927351336759,-3772.5379113367585,0.013539693432934374,2019-05-20/2019-05-26,0.0,,0.0,1.201720645836812,1.1608197552872992
2019-05-22,3649.3796,3663.1533,-4493.86,1136.8190799999998,6099.028777612151,-3825.3906176121523,-0.0047443855449916805,2019-05-20/2019-05-26,0.0,,-0.0,1.201720645836812,1.1553123788199733
