trade_date,ts_code,trade_date,close,open,pct_chg,amount
2012-02-07,000300.SH,20120207,2457.954,2489.032,-1.8515,40034277.145
2012-02-08,000300.SH,20120208,2528.236,2456.422,2.8594,61721305.024
2012-02-09,000300.SH,20120209,2529.231,2525.589,0.0394,63456204.565
2012-02-10,000300.SH,20120210,2533.624,2521.676,0.1737,60029482.361
2012-02-13,000300.SH,20120213,2531.981,2504.41,-0.0648,54282622.44
2012-02-14,000300.SH,20120214,2522.107,2528.967,-0.39,43723682.304
2012-02-15,000300.SH,20120215,2549.607,2515.829,1.0904,60422394.145
2012-02-16,000300.SH,20120216,2536.074,2544.641,-0.5308,55165633.314
2012-02-17,000300.SH,20120217,2537.086,2551.815,0.0399,40458003.413
2012-02-20,000300.SH,20120220,2540.706,2571.907,0.1427,56748912.893
2012-02-21,000300.SH,20120221,2562.453,2544.835,0.8559,47758225.547
2012-02-22,000300.SH,20120222,2597.476,2564.315,1.3668,76421806.874
2012-02-23,000300.SH,20120223,2606.256,2595.779,0.338,72612089.253
2012-02-24,000300.SH,20120224,2648.017,2607.339,1.6023,88058616.716
2012-02-27,000300.SH,20120227,2656.573,2658.121,0.3231,106670207.615
2012-02-28,000300.SH,20120228,2662.463,2652.342,0.2217,77213053.038
2012-02-29,000300.SH,20120229,2634.143,2655.858,-1.0637,64875221.164
2012-03-01,000300.SH,20120301,2633.345,2622.737,-0.0303,46524079.738
2012-03-02,000300.SH,20120302,2679.934,2637.961,1.7692,66981591.368
2012-03-05,000300.SH,20120305,2662.698,2687.74,-0.6432,74973261.138
2012-03-06,000300.SH,20120306,2621.052,2654.799,-1.5641,68852557.821
2012-03-07,000300.SH,20120307,2603.005,2596.479,-0.6885,63243293.004
2012-03-08,000300.SH,20120308,2635.791,2612.403,1.2595,64458851.045
2012-03-09,000300.SH,20120309,2664.302,2644.1,1.0817,65963441.747
2012-03-12,000300.SH,20120312,2654.402,2663.243,-0.3716,74367701.978
2012-03-13,000300.SH,20120313,2681.073,2653.681,1.0048,66429764.308
2012-03-14,000300.SH,20120314,2605.106,2694.475,-2.8335,117080408.732
2012-03-15,000300.SH,20120315,2585.546,2602.661,-0.7508,77042766.482
2012-03-16,000300.SH,20120316,2623.52,2591.8,1.4687,67451822.278
2012-03-19,000300.SH,20120319,2630.013,2617.662,0.2475,68803937.996
2012-03-20,000300.SH,20120320,2584.445,2622.66,-1.7326,64263817.216
2012-03-21,000300.SH,20120321,2587.793,2597.375,0.1295,66674920.148
2012-03-22,000300.SH,20120322,2583.747,2586.938,-0.1563,50115505.934
2012-03-23,000300.SH,20120323,2552.94,2575.327,-1.1923,47812442.986
2012-03-26,000300.SH,20120326,2555.442,2551.425,0.098,36356133.943
2012-03-27,000300.SH,20120327,2547.143,2565.551,-0.3248,47394454.857
2012-03-28,000300.SH,20120328,2474.9,2538.458,-2.8362,54993640.999
2012-03-29,000300.SH,20120329,2443.122,2463.688,-1.284,48651595.893
2012-03-30,000300.SH,20120330,2454.899,2447.939,0.482,39139734.882
2012-04-05,000300.SH,20120405,2512.832,2449.208,2.3599,58049690.964
