trade_date,ts_code,trade_date,close
2010-04-07,000300.SH,20100407,3386.949
2010-04-08,000300.SH,20100408,3346.744
2010-04-09,000300.SH,20100409,3379.17
2010-04-12,000300.SH,20100412,3351.478
2010-04-13,000300.SH,20100413,3391.716
2010-04-14,000300.SH,20100414,3403.707
2010-04-15,000300.SH,20100415,3394.574
2010-04-16,000300.SH,20100416,3356.332
2010-04-19,000300.SH,20100419,3176.423
2010-04-20,000300.SH,20100420,3173.374
2010-04-21,000300.SH,20100421,3236.679
2010-04-22,000300.SH,20100422,3201.541
2010-04-23,000300.SH,20100423,3190.003
2010-04-26,000300.SH,20100426,3171.997
2010-04-27,000300.SH,20100427,3108.409
2010-04-28,000300.SH,20100428,3097.353
2010-04-29,000300.SH,20100429,3060.064
2010-04-30,000300.SH,20100430,3067.365
2010-05-04,000300.SH,20100504,3019.449
2010-05-05,000300.SH,20100505,3036.394
2010-05-06,000300.SH,20100506,2896.856
2010-05-07,000300.SH,20100507,2836.789
2010-05-10,000300.SH,20100510,2858.233
2010-05-11,000300.SH,20100511,2800.817
2010-05-12,000300.SH,20100512,2818.16
2010-05-13,000300.SH,20100513,2886.911
2010-05-14,000300.SH,20100514,2868.023
2010-05-17,000300.SH,20100517,2714.715
2010-05-18,000300.SH,20100518,2771.348
2010-05-19,000300.SH,20100519,2762.174
2010-05-20,000300.SH,20100520,2726.022
2010-05-21,000300.SH,20100521,2768.791
2010-05-24,000300.SH,20100524,2873.469
2010-05-25,000300.SH,20100525,2813.943
2010-05-26,000300.SH,20100526,2813.944
2010-05-27,000300.SH,20100527,2859.979
2010-05-28,000300.SH,20100528,2850.302
2010-05-31,000300.SH,20100531,2773.264
2010-06-01,000300.SH,20100601,2744.162
2010-06-02,000300.SH,20100602,2757.527
2010-06-03,000300.SH,20100603,2736.076
2010-06-04,000300.SH,20100604,2744.391
2010-06-07,000300.SH,20100607,2695.715
2010-06-08,000300.SH,20100608,2699.336
2010-06-09,000300.SH,20100609,2782.133
2010-06-10,000300.SH,20100610,2750.023
2010-06-11,000300.SH,20100611,2758.866
2010-06-17,000300.SH,20100617,2742.733
2010-06-18,000300.SH,20100618,2696.166
2010-06-21,000300.SH,20100621,2780.663
2010-06-22,000300.SH,20100622,2783.72
2010-06-23,000300.SH,20100623,2758.495
2010-06-24,000300.SH,20100624,2757.498
2010-06-25,000300.SH,20100625,2736.287
2010-06-28,000300.SH,20100628,2716.777
2010-06-29,000300.SH,20100629,2592.019
2010-06-30,000300.SH,20100630,2563.07
2010-07-01,000300.SH,20100701,2526.071
2010-07-02,000300.SH,20100702,2534.105
2010-07-05,000300.SH,20100705,2512.651
2010-07-06,000300.SH,20100706,2562.902
2010-07-07,000300.SH,20100707,2580.477
2010-07-08,000300.SH,20100708,2575.921
2010-07-09,000300.SH,20100709,2647.104
2010-07-12,000300.SH,20100712,2676.218
2010-07-13,000300.SH,20100713,2634.593
2010-07-14,000300.SH,20100714,2653.609
2010-07-15,000300.SH,20100715,2608.519
2010-07-16,000300.SH,20100716,2616.128
2010-07-19,000300.SH,20100719,2682.472
2010-07-20,000300.SH,20100720,2741.503
2010-07-21,000300.SH,20100721,2747.335
2010-07-22,000300.SH,20100722,2781.286
2010-07-23,000300.SH,20100723,2793.076
2010-07-26,000300.SH,20100726,2811.055
