ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2020-02-19,'002878,ิชยกัลอผ,43.45,46.78,42.79,42.79,45.28,-1.83,-4.0415,16.9077,7907518,351819558.0,5662001522.65,2032101014.35
2020-02-18,'002878,ิชยกัลอผ,45.28,46.39,43.1,44.0,42.23,3.05,7.2224,22.3008,10429780,465982965.75,5900470171.36,2117687777.44
2020-02-17,'002878,ิชยกัลอผ,42.23,42.23,38.66,39.36,38.39,3.84,10.0026,17.8848,8364488,342546652.57,5503022423.51,1975043172.29
2020-02-14,'002878,ิชยกัลอผ,38.39,38.39,36.0,36.0,34.9,3.49,10.0,7.2856,3407365,128062953.11,5002629193.43,1795451275.97
2020-02-13,'002878,ิชยกัลอผ,34.9,37.1,33.95,36.95,37.42,-2.52,-6.7344,10.6303,4971666,176221241.3,4547844721.3,1632228432.7
2020-02-12,'002878,ิชยกัลอผ,37.42,38.36,36.56,36.68,37.84,-0.42,-1.1099,9.6613,4518467,167963551.86,4876227778.54,1750085614.66
2020-02-11,'002878,ิชยกัลอผ,37.84,40.5,37.38,39.99,37.82,0.02,0.0529,13.0594,6107720,236387307.31,4930958288.08,1769728478.32
2020-02-10,'002878,ิชยกัลอผ,37.82,37.82,34.26,34.41,34.38,3.44,10.0058,11.1856,5231373,193391259.08,4928352073.34,1768793103.86
2020-02-07,'002878,ิชยกัลอผ,34.38,35.25,33.82,35.0,35.56,-1.18,-3.3183,9.4375,4413794,152404737.8,4480083138.06,1607908696.74
2020-02-06,'002878,ิชยกัลอผ,35.56,36.87,35.05,35.52,36.1,-0.54,-1.4958,13.0875,6120877,218728324.84,4633849807.72,1663095789.88
2020-02-05,'002878,ิชยกัลอผ,36.1,36.4,33.92,34.87,34.87,1.23,3.5274,12.8227,5997024,210739968.52,4704217605.7,1688350900.3
2020-02-04,'002878,ิชยกัลอผ,34.87,35.49,31.23,31.5,33.44,1.43,4.2763,12.7987,5985799,199676027.33,4543935399.19,1630825371.01
2020-02-03,'002878,ิชยกัลอผ,33.44,33.5,33.44,33.44,37.16,-3.72,-10.0108,1.6222,758700,25371654.8,4357591045.28,1563946097.12
2020-01-23,'002878,ิชยกัลอผ,37.16,39.31,35.8,38.13,39.08,-1.92,-4.913,7.3134,3420365,129187983.24,4842346986.92,1737925746.68
2020-01-22,'002878,ิชยกัลอผ,39.08,39.69,37.3,38.44,38.33,0.75,1.9567,8.2874,3875903,150119788.68,5092543601.96,1827721694.84
2020-01-21,'002878,ิชยกัลอผ,38.33,40.2,38.11,40.2,40.23,-1.9,-4.7228,8.6082,4025934,157495197.28,4994810549.21,1792645152.59
2020-01-20,'002878,ิชยกัลอผ,40.23,41.38,38.11,40.56,42.25,-2.02,-4.7811,13.0813,6117954,243191140.94,5242400949.51,1881505726.29
2020-01-17,'002878,ิชยกัลอผ,42.25,43.79,41.78,43.3,43.88,-1.63,-3.7147,12.5742,5880774,251462144.24,5505628638.25,1975978546.75
2020-01-16,'002878,ิชยกัลอผ,43.88,44.88,41.88,43.2,43.38,0.5,1.1526,15.388,7196790,309853694.78,5718035139.56,2052211565.24
2020-01-15,'002878,ิชยกัลอผ,43.38,45.1,42.79,43.13,45.9,-2.52,-5.4902,18.815,8799542,384536373.69,5657030065.8,2028827203.74
2020-01-14,'002878,ิชยกัลอผ,45.9,49.25,45.61,47.0,44.77,1.13,2.524,28.6679,13407602,640641975.3,5985654219.0,2146684385.7
2020-01-13,'002878,ิชยกัลอผ,44.77,44.77,40.33,40.86,40.7,4.07,10.0,6.6543,3112133,133458938.81,5838294975.7,2093835728.71
2020-01-10,'002878,ิชยกัลอผ,40.7,40.7,35.65,37.2,37.0,3.7,10.0,19.68,9204073,354637421.19,5307540887.0,1903487026.1
2020-01-09,'002878,ิชยกัลอผ,37.0,38.75,36.0,37.6,36.22,0.78,2.1535,17.0799,7988044,297699128.06,4825037170.0,1730442751.0
2020-01-08,'002878,ิชยกัลอผ,36.22,39.8,36.04,36.65,38.78,-2.56,-6.6013,21.7217,10158959,382074754.93,4723320170.2,1693963147.06
2020-01-07,'002878,ิชยกัลอผ,38.78,41.5,36.66,41.5,38.47,0.31,0.8058,26.022,12170159,482610703.56,5057160579.8,1813691077.94
2020-01-06,'002878,ิชยกัลอผ,38.47,39.47,33.1,33.89,35.88,2.59,7.2185,28.0978,13140959,477244577.88,5016734592.7,1799192773.81
2020-01-03,'002878,ิชยกัลอผ,35.88,35.88,35.01,35.88,32.62,3.26,9.9939,20.756,9707328,348069350.62,4678981990.8,1678061781.24
