代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率,市净率
601198,东兴证券,13.22,-0.23%,-0.03,13.01万,1.73亿,1.96%,13.38,13.12,13.28,13.25,0.79,0.47%,21.49,1.74
603789,星光农机,13,-0.23%,-0.03,9166,1192.26万,0.31%,13.04,13,13.02,13.03,0.66,0.35%,-31.5,3.5
600470,*ST六化,3.88,-0.26%,-0.01,1.92万,749.53万,2.06%,3.93,3.85,3.89,3.89,0.67,0.37%,10.22,1.49
600292,远达环保,7.64,-0.26%,-0.02,88.72万,7.20亿,10.84%,8.43,7.6,8,7.66,1.89,11.36%,78.14,1.17
603187,海容冷链,64.23,-0.26%,-0.17,2.16万,1.40亿,4.29%,65.99,63.23,64.53,64.4,1.05,1.83%,35.38,6.26
603679,华体科技,21.33,-0.28%,-0.06,1.21万,2583.01万,3.88%,21.84,21.01,21.2,21.39,1.16,0.85%,42.5,4.16
601128,常熟银行,7.09,-0.28%,-0.02,27.04万,1.93亿,1.83%,7.2,7.07,7.08,7.11,0.82,1.04%,10.45,1.11
603001,奥康国际,7.04,-0.28%,-0.02,1.19万,837.83万,0.71%,7.09,7.04,7.09,7.06,1.35,0.30%,227.42,0.79
600547,山东黄金,24.29,-0.29%,-0.07,26.42万,6.42亿,3.04%,24.62,23.88,24,24.36,1.22,0.80%,42.64,4.27
600151,航天机电,9.62,-0.31%,-0.03,31.29万,3.00亿,3.52%,9.75,9.41,9.7,9.65,0.95,2.18%,-111.71,2.67
603618,杭电股份,6.23,-0.32%,-0.02,14.38万,8980.35万,3.20%,6.35,6.15,6.19,6.25,1.03,2.08%,28.17,1.7
600967,内蒙一机,12.46,-0.32%,-0.04,51.09万,6.31亿,3.20%,12.55,12.15,12.36,12.5,0.65,3.02%,33.68,2.2
600525,长园集团,6.19,-0.32%,-0.02,10.71万,6661.09万,2.74%,6.3,6.13,6.21,6.21,1.06,0.82%,32.19,1.82
601106,中国一重,3,-0.33%,-0.01,23.08万,6947.58万,1.66%,3.04,2.99,3.01,3.01,0.81,0.34%,276.06,1.85
600057,厦门象屿,5.96,-0.33%,-0.02,9.34万,5597.95万,2.01%,6.05,5.93,5.98,5.98,1.15,0.43%,10.34,1.19
600879,航天电子,8.2,-0.36%,-0.03,84.32万,6.88亿,2.79%,8.28,8.05,8.16,8.23,0.91,3.10%,48.76,1.77
688568,中科星图,57.35,-0.38%,-0.22,3.40万,1.90亿,6.48%,58.41,54.68,57.46,57.57,1.26,7.19%,295.91,11.25
600873,梅花生物,4.82,-0.41%,-0.02,18.30万,8881.54万,1.86%,4.89,4.8,4.87,4.84,0.79,0.59%,13.68,1.67
600187,国中水务,2.34,-0.43%,-0.01,7.63万,1797.71万,1.70%,2.38,2.34,2.35,2.35,0.76,0.46%,80.16,1.13
601518,吉林高速,2.29,-0.43%,-0.01,1.75万,401.85万,0.87%,2.3,2.28,2.3,2.3,0.75,0.14%,145.8,0.84
601006,大秦铁路,6.51,-0.46%,-0.03,28.37万,1.85亿,0.61%,6.53,6.49,6.51,6.54,1.17,0.19%,8.16,0.83
603992,松霖科技,17.3,-0.46%,-0.08,7232,1255.74万,2.24%,17.54,17.15,17.25,17.38,0.62,1.61%,27.06,3.6
600823,世茂股份,4.32,-0.46%,-0.02,16.59万,7220.49万,4.61%,4.48,4.28,4.35,4.34,1.15,0.44%,11.24,0.63
603991,至正股份,38.52,-0.47%,-0.18,2429,938.53万,1.94%,39.13,38.38,38.7,38.7,0.91,0.33%,-60.18,7.49
603060,国检集团,20.61,-0.48%,-0.1,2.76万,5644.95万,3.86%,20.94,20.14,20.72,20.71,1.05,0.64%,57.8,6.72
600525,长园集团,6.18,-0.48%,-0.03,10.71万,6661.34万,2.74%,6.3,6.13,6.21,6.21,1.06,0.82%,32.14,1.82
603131,上海沪工,29.4,-0.51%,-0.15,4.84万,1.44亿,5.28%,30.56,29,29.85,29.55,0.89,1.64%,129.55,7.58
