代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率,市净率
601009,南京银行,8,-0.62%,-0.05,55.09万,4.46亿,2.61%,8.2,7.99,8.1,8.05,1.92,0.65%,5.95,0.85
600926,杭州银行,13.89,-0.64%,-0.09,29.89万,4.23亿,3.58%,14.36,13.86,13.99,13.98,0.96,0.59%,11.08,1.32
601028,玉龙股份,12.29,-0.65%,-0.08,1.32万,1629.90万,1.70%,12.44,12.23,12.38,12.37,0.8,0.17%,75.85,4.45
600583,海油工程,4.49,-0.66%,-0.03,21.27万,9636.17万,2.88%,4.59,4.46,4.53,4.52,1.32,0.48%,187.03,0.88
601106,中国一重,2.99,-0.66%,-0.02,23.12万,6958.78万,1.66%,3.04,2.99,3.01,3.01,0.8,0.34%,275.14,1.85
601328,交通银行,4.47,-0.67%,-0.03,65.20万,2.92亿,1.11%,4.51,4.46,4.5,4.5,0.94,0.17%,4.72,0.47
601878,浙商证券,14.79,-0.67%,-0.1,26.44万,3.92亿,2.22%,15.03,14.7,14.88,14.89,0.57,0.73%,39.02,2.85
601001,晋控煤业,5.89,-0.67%,-0.04,37.59万,2.26亿,4.22%,6.13,5.88,5.96,5.93,1.16,2.25%,9.69,1.33
603477,巨星农牧,11.73,-0.68%,-0.08,1.45万,1708.39万,3.64%,11.99,11.56,11.8,11.81,0.63,0.61%,118.51,2.14
603866,桃李面包,61.34,-0.68%,-0.42,2.42万,1.47亿,3.72%,61.8,59.5,61.5,61.76,1.04,0.36%,45.61,9
600548,深高速,8.75,-0.68%,-0.06,1.52万,1323.39万,1.48%,8.82,8.69,8.82,8.81,1.04,0.11%,22.72,1.06
600512,腾达建设,2.89,-0.69%,-0.02,11.45万,3315.23万,1.03%,2.92,2.89,2.91,2.91,1.07,0.72%,7.16,0.89
600218,全柴动力,8.65,-0.69%,-0.06,5.14万,4491.80万,1.84%,8.8,8.64,8.7,8.71,0.71,1.39%,19.75,1.5
600823,世茂股份,4.31,-0.69%,-0.03,16.59万,7221.61万,4.61%,4.48,4.28,4.35,4.34,1.15,0.44%,11.21,0.63
603826,坤彩科技,37.3,-0.69%,-0.26,1.72万,6502.74万,2.69%,38.29,37.28,37.8,37.56,1.13,0.37%,112.09,11.45
600674,川投能源,9.95,-0.70%,-0.07,4.26万,4267.23万,1.50%,10.1,9.95,9.99,10.02,0.96,0.10%,12.13,1.58
603896,寿仙谷,36.8,-0.70%,-0.26,1.17万,4352.10万,2.97%,37.76,36.66,37.2,37.06,0.76,0.80%,60.97,4.42
603662,柯力传感,28.15,-0.71%,-0.2,9295,2617.73万,1.76%,28.5,28,28.35,28.35,1.05,1.22%,22.5,2.55
601500,通用股份,5.59,-0.71%,-0.04,5.15万,2849.94万,5.15%,5.69,5.4,5.63,5.63,1.47,0.59%,42.62,1.34
600926,杭州银行,13.88,-0.72%,-0.1,29.90万,4.23亿,3.58%,14.36,13.86,13.99,13.98,0.96,0.59%,11.07,1.32
601018,宁波港,4.14,-0.72%,-0.03,51.99万,2.19亿,6.95%,4.31,4.02,4.12,4.17,1.31,0.39%,18.11,1.26
603161,科华控股,19.01,-0.73%,-0.14,3.03万,5824.07万,4.39%,19.65,18.81,19.39,19.15,1.03,4.37%,-114.85,1.99
688188,柏楚电子,277.94,-0.73%,-2.05,6409,1.73亿,7.10%,282.97,263.09,278.19,279.99,1.83,2.49%,75.39,11.67
600731,湖南海利,8.12,-0.73%,-0.06,6.42万,5237.67万,2.81%,8.31,8.08,8.19,8.18,0.55,1.96%,10.58,2.09
601599,鹿港文化,2.7,-0.74%,-0.02,2.06万,558.91万,1.47%,2.74,2.7,2.72,2.72,0.75,0.23%,-1.81,4.37
601878,浙商证券,14.78,-0.74%,-0.11,26.47万,3.93亿,2.22%,15.03,14.7,14.88,14.89,0.57,0.73%,39,2.85
600901,江苏租赁,5.37,-0.74%,-0.04,6.21万,3359.22万,1.48%,5.45,5.37,5.44,5.41,1.09,0.35%,8.51,1.28
600243,*ST海华,2.64,-0.75%,-0.02,5013,132.71万,1.88%,2.68,2.63,2.66,2.66,0.68,0.11%,259.11,1.03
600106,重庆路桥,2.64,-0.75%,-0.02,4.38万,1157.38万,1.13%,2.66,2.63,2.65,2.66,0.77,0.33%,13.08,0.93
600874,创业环保,6.58,-0.75%,-0.05,2.43万,1602.04万,1.06%,6.65,6.58,6.64,6.63,0.72,0.22%,16.13,1.45
601890,亚星锚链,6.53,-0.76%,-0.05,37.13万,2.38亿,7.45%,6.7,6.21,6.44,6.58,1.03,3.87%,69.49,2.06
600379,宝光股份,6.5,-0.76%,-0.05,28.00万,1.91亿,9.47%,7.1,6.48,6.74,6.55,1.94,8.48%,52.59,3.89
600315,上海家化,37.68,-0.76%,-0.29,4.74万,1.80亿,2.71%,38.34,37.31,37.6,37.97,1.14,0.71%,61.39,3.95
600714,金瑞矿业,5.16,-0.77%,-0.04,1.41万,727.44万,3.08%,5.24,5.08,5.18,5.2,1.18,0.49%,3011.49,2.41
600900,长江电力,19.06,-0.78%,-0.15,42.87万,8.27亿,2.71%,19.57,19.05,19.31,19.21,1.49,0.19%,16.05,2.62
601158,重庆水务,5.08,-0.78%,-0.04,2.13万,1083.50万,0.78%,5.12,5.08,5.1,5.12,0.72,0.04%,12.14,1.6
600785,新华百货,12.43,-0.80%,-0.1,1755,219.11万,2.08%,12.67,12.41,12.53,12.53,0.76,0.08%,61.88,1.19
600785,新华百货,12.43,-0.80%,-0.1,1755,219.11万,2.08%,12.67,12.41,12.53,12.53,0.76,0.08%,61.88,1.19
600857,宁波中百,8.7,-0.80%,-0.07,3061,267.20万,1.82%,8.83,8.67,8.8,8.77,1.01,0.14%,84.27,3.88
601985,中国核电,4.97,-0.80%,-0.04,57.49万,2.88亿,2.20%,5.08,4.97,4.97,5.01,1.26,0.37%,13.26,1.45
600674,川投能源,9.94,-0.80%,-0.08,4.27万,4282.06万,1.60%,10.1,9.94,9.99,10.02,0.97,0.10%,12.11,1.58
601000,唐山港,2.46,-0.81%,-0.02,32.94万,8156.37万,2.02%,2.5,2.45,2.48,2.48,1.02,0.56%,8.09,0.81
603798,康普顿,9.6,-0.83%,-0.08,9485,919.47万,2.48%,9.79,9.55,9.6,9.68,1.58,0.47%,16.1,1.94
600611,大众交通,3.57,-0.83%,-0.03,4.45万,1598.35万,1.39%,3.62,3.57,3.6,3.6,1.18,0.28%,19.48,0.93
601658,邮储银行,4.67,-0.85%,-0.04,29.39万,1.38亿,1.70%,4.75,4.67,4.71,4.71,0.59,0.26%,5.76,0.77
601886,江河集团,5.82,-0.85%,-0.05,3.93万,2299.30万,1.19%,5.88,5.81,5.87,5.87,1.41,0.34%,12.72,0.83
600076,康欣新材,3.49,-0.85%,-0.03,6.02万,2118.00万,2.56%,3.57,3.48,3.53,3.52,0.78,0.58%,-15.51,0.92
603861,白云电器,8.1,-0.86%,-0.07,8977,732.32万,1.71%,8.22,8.08,8.14,8.17,1.32,0.22%,-38.85,1.53
600018,上港集团,4.62,-0.86%,-0.04,26.69万,1.24亿,2.36%,4.72,4.61,4.63,4.66,0.8,0.12%,13.36,1.26
603588,高能环境,12.67,-0.86%,-0.11,5.85万,7547.00万,3.60%,13.12,12.66,13.08,12.78,0.74,0.78%,18.61,2.24
600153,建发股份,8.04,-0.86%,-0.07,11.65万,9388.98万,0.99%,8.11,8.03,8.11,8.11,1.02,0.41%,6.14,0.71
603963,大理药业,7.86,-0.88%,-0.07,7677,601.34万,4.29%,8.04,7.7,7.82,7.93,1.72,0.35%,267.86,3.66
600269,赣粤高速,3.36,-0.88%,-0.03,4.91万,1653.66万,1.18%,3.39,3.35,3.39,3.39,1.4,0.21%,58.86,0.51
603920,世运电路,24.58,-0.89%,-0.22,4.66万,1.15亿,4.23%,25.05,24,24.8,24.8,1.11,1.15%,35.06,3.87
601108,财通证券,12.29,-0.89%,-0.11,29.38万,3.64亿,1.85%,12.51,12.28,12.41,12.4,0.77,0.82%,21.86,2.03
601228,广州港,3.35,-0.89%,-0.03,10.42万,3529.94万,2.37%,3.43,3.35,3.37,3.38,0.89,0.17%,20.65,1.52
601336,新华保险,54.67,-0.89%,-0.49,13.00万,7.20亿,2.32%,55.94,54.66,55.17,55.16,0.88,0.62%,11.52,1.82
601336,新华保险,54.66,-0.91%,-0.5,13.01万,7.21亿,2.32%,55.94,54.66,55.17,55.16,0.88,0.62%,11.52,1.82
601890,亚星锚链,6.52,-0.91%,-0.06,37.39万,2.40亿,7.45%,6.7,6.21,6.44,6.58,1.04,3.90%,69.39,2.06
600823,世茂股份,4.3,-0.92%,-0.04,16.71万,7271.98万,4.61%,4.48,4.28,4.35,4.34,1.16,0.45%,11.19,0.63
601555,东吴证券,9.62,-0.93%,-0.09,22.13万,2.15亿,2.27%,9.84,9.62,9.72,9.71,0.73,0.57%,18.77,1.35
603920,世运电路,24.57,-0.93%,-0.23,4.67万,1.15亿,4.23%,25.05,24,24.8,24.8,1.11,1.15%,35.05,3.87
600452,涪陵电力,15.86,-0.94%,-0.15,1.55万,2457.64万,1.25%,16,15.8,15.95,16.01,0.63,0.35%,18.53,3.34
603681,永冠新材,19.81,-0.95%,-0.19,3.02万,6027.85万,3.60%,20.34,19.62,20.34,20,1.24,4.91%,17.86,2.23
600757,长江传媒,5.2,-0.95%,-0.05,6.26万,3265.73万,1.33%,5.26,5.19,5.26,5.25,1.71,0.52%,7.07,0.82
600642,申能股份,5.16,-0.96%,-0.05,5.54万,2870.55万,1.34%,5.23,5.16,5.21,5.21,0.73,0.12%,9.74,0.83
600990,四创电子,49.23,-0.97%,-0.48,1.83万,9046.43万,2.01%,50,49,49.59,49.71,0.86,1.15%,-78.09,3.28
600871,石化油服,2.05,-0.97%,-0.02,76.58万,1.57亿,4.83%,2.11,2.01,2.02,2.07,2.17,0.64%,125.97,5.3
601108,财通证券,12.28,-0.97%,-0.12,29.43万,3.64亿,1.85%,12.51,12.28,12.41,12.4,0.78,0.82%,21.84,2.03
601628,中国人寿,38.61,-0.97%,-0.38,29.87万,11.69亿,3.36%,39.8,38.49,39.08,38.99,1.63,0.14%,17.39,2.61
600339,中油工程,3.04,-0.98%,-0.03,33.26万,1.01亿,3.26%,3.09,2.99,3.05,3.07,1.31,0.60%,20.35,0.7
600030,中信证券,29.33,-0.98%,-0.29,94.86万,28.01亿,1.99%,29.87,29.28,29.7,29.62,0.84,0.97%,22.46,2.11
603861,白云电器,8.09,-0.98%,-0.08,8979,732.48万,1.71%,8.22,8.08,8.14,8.17,1.32,0.22%,-38.8,1.53
600340,华夏幸福,12.06,-0.99%,-0.12,14.21万,1.73亿,2.30%,12.34,12.06,12.25,12.18,1.24,0.37%,4.86,0.97
600350,山东高速,6.01,-0.99%,-0.06,6.03万,3621.32万,1.98%,6.07,5.95,6.06,6.07,1.01,0.13%,16.23,1.03
601702,华峰铝业,8.01,-0.99%,-0.08,26.57万,2.17亿,6.06%,8.4,7.91,7.97,8.09,0.87,10.64%,39.27,3.12
601916,浙商银行,4,-0.99%,-0.04,20.79万,8349.86万,1.24%,4.05,4,4.03,4.04,0.94,0.30%,6.29,0.75
600628,新世界,7.81,-1.01%,-0.08,1.24万,972.97万,2.53%,7.94,7.74,7.93,7.89,0.85,0.19%,200.57,1.17
600810,神马股份,8.76,-1.02%,-0.09,6.48万,5678.73万,2.94%,8.9,8.64,8.76,8.85,0.57,1.13%,40.9,1.49
601366,利群股份,6.75,-1.03%,-0.07,1.97万,1327.64万,2.05%,6.84,6.7,6.84,6.82,0.45,0.23%,82.79,1.3
600880,博瑞传播,3.84,-1.03%,-0.04,5.71万,2222.49万,3.61%,3.96,3.82,3.9,3.88,0.66,0.52%,56.41,1.45
600512,腾达建设,2.88,-1.03%,-0.03,12.74万,3689.74万,1.37%,2.92,2.88,2.91,2.91,1.2,0.80%,7.14,0.89
688516,奥特维,78.68,-1.03%,-0.82,7091,5559.71万,6.03%,81.21,76.42,79.88,79.5,1.27,3.36%,83.87,7.77
601698,中国卫通,19.1,-1.04%,-0.2,10.17万,1.96亿,2.54%,19.49,19,19.1,19.3,0.63,2.50%,170.64,6.64
600017,日照港,2.86,-1.04%,-0.03,16.45万,4763.57万,2.42%,2.93,2.86,2.89,2.89,0.8,0.53%,11.03,0.71
600684,珠江实业,2.85,-1.04%,-0.03,2.76万,795.57万,2.78%,2.92,2.84,2.9,2.88,0.91,0.32%,-138.9,0.93
600319,ST亚星,5.7,-1.04%,-0.06,8.23万,4879.11万,9.55%,6.05,5.5,6.05,5.76,4.63,2.61%,-67.53,40.33
600638,新黄浦,6.62,-1.05%,-0.07,2.53万,1689.39万,2.09%,6.73,6.59,6.69,6.69,0.55,0.38%,39.96,1.08
600279,重庆港九,3.78,-1.05%,-0.04,3.81万,1458.09万,2.62%,3.88,3.78,3.81,3.82,0.69,0.44%,52.16,0.82
601628,中国人寿,38.58,-1.05%,-0.41,29.87万,11.69亿,3.36%,39.8,38.49,39.08,38.99,1.63,0.14%,17.37,2.61
600811,东方集团,3.76,-1.05%,-0.04,28.38万,1.07亿,1.84%,3.8,3.73,3.77,3.8,0.84,0.76%,21.92,0.65
603377,东方时尚,19.71,-1.05%,-0.21,1.75万,3467.15万,1.26%,19.96,19.71,19.91,19.92,0.76,0.29%,108.28,6.41
600071,凤凰光学,13.06,-1.06%,-0.14,10.37万,1.35亿,5.68%,13.4,12.65,13.08,13.2,1.47,4.37%,3394.91,7.42
603883,老百姓,67,-1.08%,-0.73,2.90万,1.97亿,2.50%,68.69,67,67.73,67.73,1.11,0.71%,42.14,6.6
600398,海澜之家,6.42,-1.08%,-0.07,5.62万,3592.30万,3.24%,6.52,6.31,6.5,6.49,0.77,0.13%,16.12,2.18
603629,利通电子,31.16,-1.08%,-0.34,1.01万,3155.43万,2.95%,31.76,30.83,31.49,31.5,0.84,3.36%,70.47,3.13
601208,东材科技,10.99,-1.08%,-0.12,6.18万,6811.31万,3.51%,11.22,10.83,11.11,11.11,0.93,1.01%,40.98,2.8
688188,柏楚电子,277.01,-1.06%,-2.98,6441,1.74亿,7.10%,282.97,263.09,278.19,279.99,1.83,2.51%,75.14,11.63
600748,上实发展,4.63,-1.07%,-0.05,5.46万,2558.53万,2.14%,4.72,4.62,4.68,4.68,0.92,0.30%,14.33,0.79
600018,上港集团,4.61,-1.07%,-0.05,26.74万,1.25亿,2.36%,4.72,4.61,4.63,4.66,0.8,0.12%,13.33,1.25
600800,天津磁卡,4.56,-1.08%,-0.05,5.79万,2672.61万,2.60%,4.68,4.56,4.63,4.61,1.22,0.95%,108.12,2.06
601698,中国卫通,19.09,-1.09%,-0.21,10.19万,1.96亿,2.54%,19.49,19,19.1,19.3,0.63,2.50%,170.55,6.63
601688,华泰证券,18.06,-1.10%,-0.2,72.11万,13.20亿,2.46%,18.5,18.05,18.33,18.26,1.05,0.98%,13.91,1.29
600759,洲际油气,1.79,-1.10%,-0.02,23.62万,4230.43万,2.76%,1.82,1.77,1.8,1.81,0.93,1.05%,-16.51,0.79
688357,建龙微纳,65.3,-1.11%,-0.73,7325,4878.22万,3.53%,67.48,65.15,65.74,66.03,1.52,2.79%,30.2,4.03
601928,凤凰传媒,6.26,-1.11%,-0.07,2.89万,1814.31万,1.42%,6.34,6.25,6.34,6.33,0.96,0.11%,10.99,1.12
603883,老百姓,66.98,-1.11%,-0.75,2.93万,1.99亿,2.55%,68.69,66.96,67.73,67.73,1.12,0.72%,42.13,6.59
605018,长华股份,12.5,-1.11%,-0.14,1.37万,1717.62万,1.58%,12.66,12.46,12.6,12.64,0.93,3.29%,36.5,2.81
600887,伊利股份,49.99,-1.13%,-0.57,66.32万,33.24亿,2.85%,50.9,49.46,50.6,50.56,1.05,1.12%,37.86,10.71
600033,福建高速,2.63,-1.13%,-0.03,3.49万,922.65万,1.13%,2.66,2.63,2.66,2.66,0.89,0.13%,21.8,0.75
600671,*ST目药,7.86,-1.13%,-0.09,1626,128.33万,2.77%,8.05,7.83,7.91,7.95,0.47,0.13%,-174.43,9.34
603970,中农立华,22.7,-1.13%,-0.26,2.06万,4687.83万,3.22%,23.26,22.52,23.01,22.96,1.12,2.15%,30.4,4.29
600548,深高速,8.71,-1.14%,-0.1,1.53万,1338.28万,1.48%,8.82,8.69,8.82,8.81,1.04,0.11%,22.62,1.06
600143,金发科技,18.28,-1.14%,-0.21,54.04万,9.88亿,4.00%,18.75,18.01,18.6,18.49,1.08,2.10%,9.3,3.35
689009,九号公司-UWD,80.07,-1.14%,-0.92,3.79万,3.05亿,8.12%,83.88,77.3,80.01,80.99,0.91,6.57%,497.4,15.23
600265,ST景谷,18.27,-1.14%,-0.21,1164,213.92万,2.98%,18.8,18.25,18.8,18.48,0.87,0.09%,-120.82,96.92
600076,康欣新材,3.48,-1.14%,-0.04,6.04万,2127.31万,2.56%,3.57,3.48,3.53,3.52,0.77,0.58%,-15.46,0.91
601990,南京证券,12.01,-1.15%,-0.14,20.59万,2.49亿,1.81%,12.21,11.99,12.12,12.15,0.73,1.00%,46.42,3.89
600714,金瑞矿业,5.14,-1.15%,-0.06,1.41万,727.54万,3.08%,5.24,5.08,5.18,5.2,1.18,0.49%,2999.82,2.4
600231,凌钢股份,2.57,-1.15%,-0.03,32.23万,8419.81万,4.62%,2.67,2.55,2.6,2.6,1.14,1.16%,12.69,0.89
603883,老百姓,66.94,-1.17%,-0.79,2.94万,2.00亿,2.58%,68.69,66.94,67.73,67.73,1.12,0.72%,42.11,6.59
601208,东材科技,10.98,-1.17%,-0.13,6.19万,6818.24万,3.51%,11.22,10.83,11.11,11.11,0.93,1.01%,40.95,2.8
601869,长飞光纤,26.1,-1.17%,-0.31,6227,1628.16万,1.25%,26.4,26.07,26.4,26.41,0.96,0.58%,36.55,2.22
600292,远达环保,7.57,-1.17%,-0.09,89.86万,7.29亿,11.49%,8.43,7.55,8,7.66,1.89,11.51%,77.43,1.16
603970,中农立华,22.69,-1.18%,-0.27,2.06万,4696.08万,3.22%,23.26,22.52,23.01,22.96,1.12,2.16%,30.39,4.29
688093,世华科技,26.03,-1.18%,-0.31,1.04万,2726.91万,3.11%,26.7,25.88,26.5,26.34,0.95,2.66%,42.45,4.3
601318,中国平安,84.73,-1.18%,-1.01,73.57万,62.93亿,2.64%,86.76,84.5,85.87,85.74,1.31,0.68%,11.27,2.18
601001,晋控煤业,5.86,-1.18%,-0.07,38.08万,2.29亿,4.72%,6.13,5.85,5.96,5.93,1.17,2.28%,9.64,1.33
600681,百川能源,5.01,-1.18%,-0.06,2.57万,1291.31万,1.18%,5.06,5,5.06,5.07,1.05,0.18%,13.2,1.74
605018,长华股份,12.49,-1.19%,-0.15,1.38万,1728.36万,1.58%,12.66,12.46,12.6,12.64,0.94,3.31%,36.47,2.81
600790,轻纺城,3.32,-1.19%,-0.04,9.24万,3098.86万,2.08%,3.39,3.32,3.35,3.36,0.89,0.63%,12.67,0.86
600127,金健米业,11.6,-1.19%,-0.14,36.76万,4.32亿,4.17%,12.07,11.58,11.65,11.74,1.21,5.73%,161.42,9.9
600638,新黄浦,6.61,-1.20%,-0.08,2.55万,1703.02万,2.09%,6.73,6.59,6.69,6.69,0.55,0.38%,39.9,1.08
601000,唐山港,2.45,-1.21%,-0.03,33.03万,8179.71万,2.02%,2.5,2.45,2.48,2.48,1.02,0.56%,8.05,0.81
601890,亚星锚链,6.5,-1.22%,-0.08,37.60万,2.41亿,7.45%,6.7,6.21,6.44,6.58,1.04,3.92%,69.17,2.06
600397,安源煤业,3.23,-1.22%,-0.04,28.45万,9338.94万,5.50%,3.36,3.18,3.27,3.27,0.79,2.87%,-10.66,5.06
600061,国投资本,13.63,-1.23%,-0.17,18.92万,2.60亿,2.39%,13.93,13.6,13.82,13.8,0.81,0.45%,12.17,1.38
601628,中国人寿,38.5,-1.26%,-0.49,30.01万,11.74亿,3.36%,39.8,38.49,39.08,38.99,1.63,0.14%,17.34,2.61
603963,大理药业,7.83,-1.26%,-0.1,7679,601.49万,4.29%,8.04,7.7,7.82,7.93,1.71,0.35%,266.83,3.64
601928,凤凰传媒,6.25,-1.26%,-0.08,2.90万,1819.68万,1.42%,6.34,6.25,6.34,6.33,0.96,0.11%,10.97,1.12
605018,长华股份,12.48,-1.27%,-0.16,1.39万,1736.73万,1.58%,12.66,12.46,12.6,12.64,0.94,3.33%,36.44,2.81
600400,红豆股份,3.12,-1.27%,-0.04,3.38万,1057.84万,1.27%,3.16,3.12,3.16,3.16,0.97,0.13%,45.57,2.12
603688,石英股份,23.38,-1.27%,-0.3,3.61万,8477.75万,3.38%,23.88,23.08,23.6,23.68,0.77,1.02%,41.57,4.38
600015,华夏银行,6.19,-1.28%,-0.08,17.09万,1.07亿,1.91%,6.3,6.18,6.27,6.27,0.99,0.13%,5.06,0.45
600127,金健米业,11.59,-1.28%,-0.15,36.79万,4.32亿,4.17%,12.07,11.58,11.65,11.74,1.21,5.73%,161.28,9.89
601881,中国银河,12.36,-1.28%,-0.16,21.50万,2.69亿,2.80%,12.66,12.31,12.6,12.52,0.81,0.33%,16.63,1.68
600361,华联综超,3.86,-1.28%,-0.05,2.29万,892.21万,1.53%,3.92,3.86,3.91,3.91,0.89,0.34%,16.48,0.91
600582,天地科技,3.06,-1.29%,-0.04,17.78万,5467.82万,1.94%,3.11,3.05,3.11,3.1,0.83,0.43%,10.98,0.72
600252,中恒集团,3.06,-1.29%,-0.04,7.76万,2383.57万,0.97%,3.09,3.06,3.09,3.1,0.76,0.22%,18.63,1.6
600066,宇通客车,15.21,-1.30%,-0.2,11.13万,1.70亿,1.82%,15.45,15.17,15.43,15.41,0.64,0.50%,161.39,2.26
600061,国投资本,13.62,-1.30%,-0.18,18.92万,2.60亿,2.39%,13.93,13.6,13.82,13.8,0.81,0.45%,12.16,1.38
600292,远达环保,7.56,-1.31%,-0.1,89.91万,7.29亿,11.49%,8.43,7.55,8,7.66,1.89,11.51%,77.33,1.15
600190,锦州港,3.02,-1.31%,-0.04,11.35万,3474.16万,3.59%,3.12,3.01,3.05,3.06,0.7,0.64%,29.39,0.94
605155,西大门,24.11,-1.31%,-0.32,3.24万,7887.33万,3.72%,24.9,23.99,23.99,24.43,0.72,13.50%,30.59,2.34
600370,三房巷,3.01,-1.31%,-0.04,1.80万,543.61万,1.31%,3.05,3.01,3.05,3.05,0.86,0.23%,20.32,1.97
688396,华润微,61.67,-1.31%,-0.82,8.08万,5.06亿,3.71%,63.97,61.65,62.52,62.49,0.71,3.24%,81.9,7.33
600811,东方集团,3.75,-1.32%,-0.05,28.59万,1.08亿,1.84%,3.8,3.73,3.77,3.8,0.84,0.77%,21.86,0.65
600811,东方集团,3.75,-1.32%,-0.05,28.59万,1.08亿,1.84%,3.8,3.73,3.77,3.8,0.84,0.77%,21.86,0.65
600170,上海建工,2.99,-1.32%,-0.04,16.86万,5073.09万,1.32%,3.03,2.99,3.03,3.03,1.15,0.19%,8.9,0.97
688396,华润微,61.65,-1.34%,-0.84,8.08万,5.07亿,3.71%,63.97,61.65,62.52,62.49,0.71,3.24%,81.88,7.33
603861,白云电器,8.06,-1.35%,-0.11,9057,738.78万,1.96%,8.22,8.06,8.14,8.17,1.32,0.22%,-38.66,1.52
603181,皇马科技,19.78,-1.35%,-0.27,1.45万,2856.96万,3.34%,20.03,19.36,20.03,20.05,0.77,0.36%,25.43,4.54
601882,海天精工,11.7,-1.35%,-0.16,1.37万,1598.19万,2.19%,11.86,11.6,11.81,11.86,0.91,0.26%,51.14,4.52
601010,文峰股份,2.91,-1.36%,-0.04,3.73万,1087.63万,1.69%,2.95,2.9,2.95,2.95,1.25,0.20%,25.85,1.13
688002,睿创微纳,118.04,-1.37%,-1.64,2.78万,3.30亿,5.79%,123.3,116.37,120.51,119.68,0.91,1.21%,84.76,18.85
605158,华达新材,10.75,-1.38%,-0.15,1.44万,1553.90万,2.11%,10.98,10.75,10.93,10.9,1.3,1.46%,15.66,2.23
601101,昊华能源,4.29,-1.38%,-0.06,21.58万,9409.44万,4.14%,4.45,4.27,4.31,4.35,1.04,1.80%,37.37,0.76
600035,楚天高速,2.86,-1.38%,-0.04,3.52万,1014.16万,1.72%,2.91,2.86,2.9,2.9,1.16,0.22%,12.94,0.73
600488,天药股份,5,-1.38%,-0.07,5.12万,2581.88万,1.78%,5.09,5,5.07,5.07,0.95,0.52%,42.52,1.85
600017,日照港,2.85,-1.38%,-0.04,16.54万,4790.36万,2.77%,2.93,2.85,2.89,2.89,0.8,0.54%,10.99,0.71
600023,浙能电力,3.56,-1.39%,-0.05,16.80万,6005.56万,1.11%,3.6,3.56,3.6,3.61,0.89,0.12%,6.97,0.73
600462,*ST九有,2.12,-1.40%,-0.03,1.56万,332.62万,2.79%,2.18,2.12,2.16,2.15,0.71,0.29%,-36.59,70.82
601995,中金公司,71.3,-1.40%,-1.01,22.85万,16.37亿,2.96%,72.84,70.7,71.8,72.31,0.73,8.78%,52.78,5.32
603158,腾龙股份,18.91,-1.41%,-0.27,1.23万,2328.05万,3.91%,19.45,18.7,19.19,19.18,0.83,0.57%,30.78,3.62
600008,首创股份,2.8,-1.41%,-0.04,29.39万,8259.95万,1.76%,2.84,2.79,2.83,2.84,1.01,0.40%,16.61,1.33
600693,东百集团,4.19,-1.41%,-0.06,3.93万,1651.28万,2.12%,4.25,4.16,4.24,4.25,1.09,0.44%,18.07,1.42
601668,中国建筑,4.88,-1.41%,-0.07,225.56万,11.12亿,2.83%,5.02,4.88,4.96,4.95,1.25,0.55%,4.93,0.73
600008,首创股份,2.8,-1.41%,-0.04,29.41万,8264.81万,1.76%,2.84,2.79,2.83,2.84,1.01,0.40%,16.61,1.33
600246,万通发展,6.99,-1.41%,-0.1,6.52万,4571.34万,2.68%,7.12,6.93,7.08,7.09,1.2,0.32%,235.19,2
600693,东百集团,4.19,-1.41%,-0.06,3.93万,1651.28万,2.12%,4.25,4.16,4.24,4.25,1.09,0.44%,18.07,1.42
601668,中国建筑,4.88,-1.41%,-0.07,226.07万,11.14亿,2.83%,5.02,4.88,4.96,4.95,1.25,0.55%,4.93,0.73
601997,贵阳银行,7.61,-1.42%,-0.11,21.24万,1.63亿,1.94%,7.75,7.6,7.74,7.72,1,0.69%,4.31,0.67
600000,浦发银行,9.68,-1.43%,-0.14,38.76万,3.79亿,2.65%,9.93,9.67,9.83,9.82,1.01,0.13%,4.76,0.56
603058,永吉股份,6.91,-1.43%,-0.1,1.69万,1190.44万,3.57%,7.15,6.9,7.03,7.01,1.66,0.40%,19.92,2.61
600066,宇通客车,15.19,-1.43%,-0.22,11.20万,1.71亿,1.82%,15.45,15.17,15.43,15.41,0.65,0.51%,161.18,2.26
603299,苏盐井神,7.58,-1.43%,-0.11,18.90万,1.46亿,8.32%,8.09,7.45,7.67,7.69,1.42,3.38%,27.06,1.45
600956,新天绿能,10.3,-1.44%,-0.15,24.62万,2.60亿,5.65%,10.79,10.2,10.46,10.45,0.92,18.27%,31.58,3.4
601188,龙江交通,2.72,-1.45%,-0.04,1.67万,456.81万,1.45%,2.76,2.72,2.74,2.76,1.02,0.13%,19.67,0.81
600871,石化油服,2.04,-1.45%,-0.03,76.95万,1.58亿,4.83%,2.11,2.01,2.02,2.07,2.16,0.64%,125.36,5.27
600820,隧道股份,5.41,-1.46%,-0.08,8.98万,4880.69万,2.19%,5.51,5.39,5.49,5.49,1.02,0.29%,10.11,0.76
601113,ST华鼎,2.7,-1.46%,-0.04,2.46万,672.98万,2.92%,2.77,2.69,2.76,2.74,1.41,0.27%,19.28,0.67
600193,ST创兴,4.72,-1.46%,-0.07,1.15万,539.74万,5.01%,4.85,4.61,4.75,4.79,1.89,0.27%,76.69,7.93
